Designator,Mid X,Mid Y,Rotation,Layer
C1,310.95,-96.575,0.0,bottom
C10,439.3,-30.76,270.0,bottom
C100,275.55,-103.5,180.0,bottom
C101,336.55,-103.45,180.0,bottom
C102,380.95,-103.55,180.0,bottom
C103,399.85,-103.55,180.0,bottom
C104,418.85,-103.55,180.0,bottom
C105,437.8,-112.8,180.0,bottom
C106,35.0,-127.6,0.0,bottom
C107,58.725,-127.6,0.0,bottom
C108,82.325,-127.6,0.0,bottom
C109,153.625,-127.65,0.0,bottom
C11,26.2,-20.8,180.0,bottom
C110,224.875,-127.675,0.0,bottom
C111,248.65,-127.6,0.0,bottom
C112,272.45,-127.675,0.0,bottom
C113,296.15,-127.675,0.0,bottom
C114,324.175,-127.675,0.0,bottom
C115,343.075,-127.575,0.0,bottom
C116,362.15,-127.6,0.0,bottom
C117,396.9,-127.55,0.0,bottom
C118,425.35,-127.575,0.0,bottom
C119,330.275,-100.575,270.0,bottom
C12,64.2,-20.8,180.0,bottom
C13,83.1,-20.8,180.0,bottom
C14,102.1,-20.8,180.0,bottom
C15,121.1,-20.8,180.0,bottom
C16,149.5,-20.8,180.0,bottom
C17,168.5,-20.8,180.0,bottom
C18,187.6,-20.8,180.0,bottom
C19,206.5,-20.8,180.0,bottom
C2,324.575,-100.225,270.0,bottom
C20,235.0,-20.8,180.0,bottom
C21,254.1,-20.8,180.0,bottom
C22,273.0,-20.8,180.0,bottom
C23,292.0,-20.8,180.0,bottom
C24,317.5,-20.8,180.0,bottom
C25,336.5,-20.8,180.0,bottom
C26,355.6,-20.8,180.0,bottom
C27,390.95,-31.25,180.0,bottom
C28,409.95,-31.3,180.0,bottom
C29,428.8,-31.3,0.0,bottom
C3,315.31,-102.585,0.0,bottom
C30,33.225,-51.925,90.0,bottom
C31,51.7,-51.5,0.0,bottom
C32,70.65,-51.525,0.0,bottom
C33,89.625,-51.525,0.0,bottom
C34,108.6,-51.575,0.0,bottom
C35,127.65,-51.5,0.0,bottom
C36,146.675,-51.525,0.0,bottom
C37,165.575,-51.525,0.0,bottom
C38,184.525,-51.525,0.0,bottom
C39,203.6,-51.475,0.0,bottom
C4,312.7,-100.3,270.0,bottom
C40,222.575,-51.525,0.0,bottom
C41,241.525,-51.525,0.0,bottom
C42,260.55,-51.5,0.0,bottom
C43,289.1,-51.5,0.0,bottom
C44,324.025,-51.525,0.0,bottom
C45,343.05,-51.525,0.0,bottom
C46,362.025,-51.525,0.0,bottom
C47,387.425,-51.525,0.0,bottom
C48,406.45,-51.5,0.0,bottom
C49,425.375,-51.5,0.0,bottom
C5,312.5,-95.5,270.0,bottom
C50,444.275,-51.55,0.0,bottom
C51,30.9,-65.4,180.0,bottom
C52,54.7,-65.4,180.0,bottom
C53,73.6,-65.5,180.0,bottom
C54,92.6,-65.4,180.0,bottom
C55,111.6,-65.5,180.0,bottom
C56,130.6,-65.4,180.0,bottom
C57,149.6,-65.4,180.0,bottom
C58,168.5,-65.4,180.0,bottom
C59,187.5,-65.5,180.0,bottom
C6,322.825,-91.825,270.0,bottom
C60,206.5,-65.5,180.0,bottom
C61,225.6,-65.4,180.0,bottom
C62,244.5,-65.4,180.0,bottom
C63,263.6,-65.4,180.0,bottom
C64,289.7,-74.35,270.0,bottom
C65,317.6,-65.4,180.0,bottom
C66,336.5,-65.4,180.0,bottom
C67,355.5,-65.4,180.0,bottom
C68,380.9,-65.4,180.0,bottom
C69,399.8,-65.5,180.0,bottom
C7,309.1,-94.925,270.0,bottom
C70,418.8,-65.4,180.0,bottom
C71,437.8,-74.7,180.0,bottom
C72,39.7,-89.7,0.0,bottom
C73,65.675,-89.7,0.0,bottom
C74,84.675,-89.575,0.0,bottom
C75,103.65,-89.575,0.0,bottom
C76,122.675,-89.55,0.0,bottom
C77,141.6,-89.65,0.0,bottom
C78,160.6,-89.6,0.0,bottom
C79,179.6,-89.625,0.0,bottom
C8,339.1,-99.1,270.0,bottom
C80,198.575,-89.6,0.0,bottom
C81,217.55,-89.65,0.0,bottom
C82,236.575,-89.625,0.0,bottom
C83,255.65,-89.55,0.0,bottom
C84,274.3,-89.6,0.0,bottom
C85,387.425,-89.525,0.0,bottom
C86,406.425,-89.6,0.0,bottom
C87,425.375,-89.65,0.0,bottom
C88,30.5,-103.0,270.0,bottom
C89,49.85,-103.4,180.0,bottom
C9,332.359,-99.088,270.0,bottom
C90,69.15,-103.4,180.0,bottom
C91,88.15,-103.45,180.0,bottom
C92,107.1,-103.5,180.0,bottom
C93,126.15,-103.6,180.0,bottom
C94,145.15,-103.5,180.0,bottom
C95,164.1,-103.5,180.0,bottom
C96,183.1,-103.5,180.0,bottom
C97,202.0,-103.4,180.0,bottom
C98,221.0,-103.45,180.0,bottom
C99,240.0,-103.45,180.0,bottom
D1,24.6,-27.85,270.0,bottom
D10,233.45,-27.85,270.0,bottom
D100,288.0,-129.575,270.0,bottom
D101,316.014824,-129.575,270.0,bottom
D102,334.939824,-129.55,270.0,bottom
D103,353.975,-129.575,270.0,bottom
D104,388.775,-129.5,270.0,bottom
D105,417.25,-129.5,270.0,bottom
D11,252.6,-27.85,270.0,bottom
D12,271.439824,-27.85,270.0,bottom
D13,290.439824,-27.85,270.0,bottom
